"mid","standard_question","standard_answer"
"254","一台多量程灵敏电流计，每个量程均具备独立的内置电路。当选择 \( 10\mu A \) 量程接入某电路时，读数为 \( I_1 = 2.95\mu A \)；当切换到 \( 3\mu A \) 量程时，读数为 \( I_z = 2.90\mu A \)。求未接入电流计前电路中的电流强度 \( I_0 \) 。 (结果以$ \mu \mathrm{A} $为单位，保留3位有效数字)"," 2.97"
"132","一个氦氖激光器在6328\(\AA\)波长工作，其谐振腔的两个平面镜间距为0.5 m。若氖原子6328 \(\AA\)谱线的自发辐射线宽典型值为0.016\(\AA\)，请估计该激光器是以单纵模还是多纵模方式运转。 (结果保留1位有效数字)","4 "
"260","一个 \( ^{27}\mathrm{Al} \) 核被限制在角频率为 \(\omega\) 的一维简谐势阱中。记系统波函数为 \(\xi_{m\alpha} = \xi_m(x) \eta_\alpha\)，其中 \(\xi_m(x) (m = 0,1,2,\cdots)\) 是简谐势中质心运动的定态波函数，\(\eta_\alpha (\alpha = 0,1,2,\cdots)\) 是核内部状态的波函数。初始时，核处于态 \(\xi_0(x) \eta_1\)，随后衰变到基态 \(\eta_0\)，并在 \(x\) 方向发射一个光子。已知核激发能远大于简谐势激发能：\(E^* = (E_{\alpha=1} - E_{\alpha=0}) \gg \hbar \omega\)。给定 \(E^* = 840\,\mathrm{keV}, \hbar \omega = 1\,\mathrm{keV}\)，估算衰变后系统处于 \(\xi_1\) 态与 \(\xi_0\) 态的概率比 \(P_1/P_0\) 的数值。 (结果使用科学计数法，保留2位有效数字)","1.4 \times 10^{-2}"
"399","一个质量为 \(0.1\,\mathrm{g}\) 的点电荷物体，带有 \(4 \times 10^{-4}\,\mathrm{C}\) 的电量，被安装在一根竖直的绝缘长棒上。该棒置于方向平行且均为水平的匀强电场和匀强磁场中，电场强度 \(E = 10\,\mathrm{N \cdot C^{-1}}\)，磁感应强度 \(B = 0.5\,\mathrm{T}\)。若物体与棒之间的滑动摩擦系数为 \(0.2\)，求物体沿棒下落的最大速率。 (结果以$ \mathrm{\;m}/\mathrm{s}  $为单位，保留2位有效数字)"," 15"
"106","衍射光栅的刻线密度为每厘米 5000 条。波长为 \( 450 \sim 650\mathrm{\;nm} \) 的平行多色光垂直入射到该光栅上。在透镜焦平面处的观察屏上，第 2 级光谱的展宽距离为 \( 35.1\mathrm{\;cm} \)。求透镜的焦距 \( j \)（\( 1\mathrm{\;nm} = 10^{-9}\mathrm{\;m} \)）。 (结果以$ \mathrm{\;{cm}}  $为单位，保留3位有效数字)"," 100"
"351","一个焦距为 \( f = 50 \) 厘米的会聚透镜被沿主光轴切割成两个半透镜，并在垂直于光轴的方向上分开距离 \( d = 4 \) 毫米。在透镜主轴上，距离透镜 \( u = 300 \) 厘米处，放置一个波长为 \( \lambda = 5000 \) 埃的单色点光源。在透镜另一侧，距离透镜 \( l = 450 \) 厘米处放置一个观察屏，可以观察到干涉条纹。已知透镜的直径为 \( D = 2 \) 厘米。计算相邻干涉条纹间的距离。 (结果使用科学计数法，以$ \mathrm{\;m}  $为单位，保留2位有效数字)","4.1 \times 10^{-4}"
"326","当 \( {}_{80}^{232}\mathrm{{Th}} \) 衰变为 \( {}_{82}^{208}\mathrm{\;{Pb}} \)时， 此过程要经历多少次 \( {\beta }^{ - } \) 衰变？ (结果保留1位有效数字)","4 "
"172","在早期氢原子理论的经典描述中，电子在原子核的库仑吸引力作用下沿圆形轨道匀速运动。然而，依据麦克斯韦电磁理论，加速运动的电荷会辐射能量，辐射功率由拉莫尔公式表达：\( P = \frac{{e}^{2}{a}^{2}}{{6\pi }{c}^{3}{\varepsilon }_{0}} \)，此处 \( a \) 代表电子加速度，\( c \) 是真空光速，\( {\varepsilon }_{0} = {8.854} \times  {10}^{-{12}}\mathrm{\;F} \cdot  {\mathrm{m}}^{-1} \)，电子电荷量大小 \( e = {1.602} \times  {10}^{-{19}}\mathrm{C} \)。忽略相对论修正，计算经典框架下氢原子的存在时间 \( \tau \)（实验给出氢原子基态结合能 \( {E}_{\mathrm{H}} = {13.6}\mathrm{{eV}} \)，电子质量 \( {m}_{e} = {9.109} \times  {10}^{-{31}}\mathrm{\;{kg}} \)）。 (结果使用科学计数法，以$ \mathrm{\;s}  $为单位，保留3位有效数字)","1.56 \times 10^{-11}"
"118","一个水平运行的输送带以恒定速度 \( v = 5\,\text{m/s} \) 移动。一个橡皮擦从低处轻轻放置到输送带上，其底面保持水平。观察到橡皮擦在输送带上留下了一段长 \( s = 5\,\text{m} \) 的摩擦痕迹。之后，驱动系统发生故障，输送带开始以恒定减速度 \( a = 5\,\text{m/s}^2 \) 减速。求橡皮擦在减速过程中在输送带上留下的摩擦痕迹的长度。 (结果以$ \mathrm{\;m} $为单位，保留2位有效数字)"," 2.5"
"161","一个质量为 \( 50\,\mathrm{kg} \) 的人进行原地跳跃，以固定周期连续跳跃，抵抗重力的平均功率为 135 W。每次跳跃时，脚与地面接触的时间占总周期的比例为 \( \frac{2}{5} \)。假设此人的心跳周期与跳跃周期相同，且每次心跳泵出 \( 60 \times 10^{-6}\,\mathrm{m}^{3} \) 的血液。若将 \( 9 \times 10^{-6}\,\mathrm{kg} \) 的示踪剂注入静脉，在足够长时间混合后，血液中示踪剂的浓度为 \( 2 \times 10^{3}\,\mathrm{kg/m^{3}} \)。求此人全部血液被心脏泵送一次所需的时间。 (结果以$ \mathrm{\;s} $为单位，保留2位有效数字)"," 45"
"376","某广播电台的发射功率为 \( 10\,\mathrm{kW} \)，其辐射能量均匀分布于以电台为中心的半球面上。若在距离电台一定位置处的电磁波可视为平面波，求该点的磁场强度幅值。 (结果使用科学计数法，以$ {\mathrm{m}}   $为单位，保留3位有效数字)","2.91 \times 10^{-4}"
"145","一个体积为 \(10  \text{cm}^3\) 的密封石英容器，内部空气压强为 \(6.67 \times 10^{-4}  \text{Pa}\)，温度为 \(300  \text{K}\)。试计算容器内所有空气分子的平均动能总和。 (结果使用科学计数法，保留3位有效数字)","1.67 \times 10^{-8}"
"317","一人骑自行车向北而行，在速度为10米/秒时，觉得有西风；速度增至15米/秒时，觉得有西北风。求风的速度。 (结果保留3位有效数字)","11.2"
"10","一个衍射光栅的狭缝密度是每厘米 2000 条，每个狭缝的宽度为 \( {2.5} \times  {10}^{-3}\mathrm{\;{mm}} \)。当波长为 \( {500}\mathrm{\;{nm}} \) 的单色光垂直入射时，最多能够观察到第几级的主极大条纹？ (结果保留1位有效数字)"," 9"
"270","在农贸市场，使用一台量程为10 kg的吊盘式杠杆秤。商贩A要称量一个超过量程的大南瓜。他找到另一个完全相同的秤砣，与原秤砣绑在一起作为新秤砣。平衡时，双砣位于6.5 kg刻度处，他将此读数乘以2得到13 kg作为南瓜质量。商贩B质疑该方法，用另一个南瓜测试：单砣正常称重为8 kg，但用双砣法时读数为3 kg，乘以2后为6 kg，证明方法不可靠。问商贩A所售南瓜的实际质量是多少？ (结果以$ \mathrm{\;{kg}} $为单位，保留2位有效数字)"," 15"
"82","在微波工程中，采用相对介电常数 \(\varepsilon_r = 2.25\) 的聚合物作为同轴电缆的绝缘层，忽略所有能量损失。若该电缆的特性阻抗需为 \(75\Omega\)，且内导体半径为 \(0.6\,\text{mm}\)，则外导体的内半径应设计为多大？ (结果以$ \mathrm{\;{mm}} $为单位，保留3位有效数字)"," 3.91"
"310","电子偶素是由电子和正电子组成的类氢原子束缚态。在非相对论近似下，其能级结构和波函数除了标度因子外与氢原子相同。在1s态，存在一个超精细耦合 \( H_{mf} = -\frac{8\pi}{3} \mu_e \cdot \mu_p \delta(r) \)，其中 \( \mu_e \) 和 \( \mu_p \) 分别为电子和正电子的磁矩，定义为 \( \mu = \frac{ge}{2mc} s \)，且电子和正电子的 \( |g| = 2 \)。求1s态的最低能级（以GHz为单位）。 (结果以$ \mathrm{{GHz}} $为单位，保留4位有效数字)"," 117.0"
"195","一个曲率半径 \( R = 60\,\text{cm} \) 的凹球面镜中注入水，水的折射率 \( n = \frac{4}{3} \)。已知水的深度远小于曲率半径 \( R \)，求该系统的有效焦距。 (结果以$ \mathrm{\;{cm}} $为单位，保留3位有效数字)"," 22.5"
"386","恒定重力场中的完全电离气体：处于均匀重力加速度 \( g \) 下的离子气体达到平衡。离子电荷为 \( Z e \)（其中 \( e \) 为元电荷绝对值），原子质量为 \( A \)。气体温度恒定且为 \( T \)，离子与电子处于热平衡状态。气体密度极低，可忽略粒子间局部相互作用。已知太阳质量 \( M = 2 \times 10^{33} \, \text{g} \)，假设太阳由纯氢构成，求 \( Q \) 的数值（以库仑为单位）。 (结果以$ \mathrm{C} $为单位，保留2位有效数字)","77"
"268","在直径为 \( {30}\mathrm{\;{cm}} \) 的球形玻璃容器中装满水，容器中心有一条小鱼。忽略薄壁的影响，求容器外部的观察者所看到的鱼的横向放大率。 (结果保留3位有效数字)"," 1.33"
"271","在 \( {60}\mathrm{\;km}/\mathrm{h} \) 的风速下，一个氮分子的热运动平均速率大约为 \( {500}\mathrm{\;m}/\mathrm{s} \)，连续两次和其他分子碰撞之间的平均自由飞行时间为 \( 1 \times  {10}^{-{10}}\mathrm{\;s} \)。如果该分子沿风向净位移了 \( 1\mathrm{\;cm} \)，则它的总运动路程是多少？ (结果以$ \mathrm{\;{cm}} $为单位，保留2位有效数字)"," 30"
"321","一个注塑成型过程采用矩形截面浇口，浇口宽度 \( 5\mathrm{\;{mm}} \)，深度 \( 1\mathrm{\;{mm}} \)，长度 \( 4\mathrm{\;{mm}} \)。塑料熔体流经时压力降为 \( {10}\mathrm{{MPa}} \)。熔体具有假塑性流动特性，稠度系数 \( K = {10}^{4} \)，流动指数 \( n = {0.6} \)。计算填充 \( {50}{\mathrm{\;{cm}}}^{3} \) 模具型腔所需的时间（秒）。 (结果保留3位有效数字)","23.5"
